"-------------------------------------------------------------------------------------------"
" Monthly average O18 concentrations (per mil) derived from flask air samples               "
" South Pole: Latitude 90.0S Elevation 2810m                                                "
"                                                                                           "
" Source: R. F. Keeling, S. C. Piper, A. F. Bollenbacher and S. J. Walker                   "
" Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                        "
" Scripps Institution of Oceanography (SIO)                                                 "
" University of California                                                                  "
" La Jolla, California USA 92093-0244                                                       "
"                                                                                           "
" Status of data and correspondence:                                                        "
"                                                                                           "
" These data are subject to revision based on recalibration of standard gases. Questions    "
" about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu) and            "
" and Dr. Stephen Piper (scpiper@popmail.ucsd.edu), Scripps CO2 Program.                    "
"                                                                                           "
" Flask data in this file through 15-Jan-2019 last updated 01-Nov-2019                      "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" Please cite as:                                                                           "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   "
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    "
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   "
"                                                                                           "
" If it is necessary to cite a peer-reviewed article, please cite as:                       "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       "
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       "
" in "A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems",     "
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 "
" New York, 2005.                                                                           "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats. Column 5 below gives monthly isotope concentrations in per-mil.  This is the     "
" standard version of the data most often sought.  The monthly values have been adjusted    "
" to 24:00 hours on the 15th of each month.  Column 6 gives the same data after a seasonal  "
" adjustment to remove the quasi-regular seasonal cycle.  The adjustment involves           "
" subtracting from the data a 4-harmonic fit with a linear gain factor.  Column 7 is a      "
" smoothed version of the data generated from a stiff cubic spline function plus 4-harmonic "
" functions with linear gain.  Column 8 is the same smoothed version with the seasonal      "
" cycle removed.  Column 9 is identical to Column 5 except that the missing values from     "
" Column 5 have been filled with values from Column 7.  Column 10 is identical to Column 6  "
" except missing values have been filled with values from Column 8.  Missing values are     "
" denoted by -99.99                                                                         "
"                                                                                           "
" CO2 concentrations are measured on the '08A' calibration scale                            "
"                                                                                           "
  Yr, Mn,    Date,      Date,     O18,seasonally,        fit,  seasonally,      O18, seasonally
    ,   ,        ,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
    ,   ,   Excel,          ,[per mil],[per mil],  [per mil],[per mil],  [per mil],[per mil]
1977, 01,   28140, 1977.0411,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1977, 02,   28171, 1977.1260,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1977, 03,   28199, 1977.2027,     0.84,     0.80,       1.03,     0.99,       0.84,     0.80
1977, 04,   28230, 1977.2877,   -99.99,   -99.99,       1.00,     1.01,       1.00,     1.01
1977, 05,   28260, 1977.3699,   -99.99,   -99.99,       0.98,     1.02,       0.98,     1.02
1977, 06,   28291, 1977.4548,   -99.99,   -99.99,       0.95,     1.04,       0.95,     1.04
1977, 07,   28321, 1977.5370,     0.86,     0.97,       0.95,     1.06,       0.86,     0.97
1977, 08,   28352, 1977.6219,   -99.99,   -99.99,       0.99,     1.07,       0.99,     1.07
1977, 09,   28383, 1977.7068,     1.06,     1.09,       1.06,     1.09,       1.06,     1.09
1977, 10,   28413, 1977.7890,     1.14,     1.12,       1.12,     1.10,       1.14,     1.12
1977, 11,   28444, 1977.8740,     1.29,     1.24,       1.17,     1.11,       1.29,     1.24
1977, 12,   28474, 1977.9562,     1.08,     1.00,       1.21,     1.13,       1.08,     1.00
1978, 01,   28505, 1978.0411,     1.42,     1.33,       1.23,     1.14,       1.42,     1.33
1978, 02,   28536, 1978.1260,     1.18,     1.10,       1.22,     1.14,       1.18,     1.10
1978, 03,   28564, 1978.2027,   -99.99,   -99.99,       1.19,     1.15,       1.19,     1.15
1978, 04,   28595, 1978.2877,   -99.99,   -99.99,       1.15,     1.16,       1.15,     1.16
1978, 05,   28625, 1978.3699,   -99.99,   -99.99,       1.11,     1.16,       1.11,     1.16
1978, 06,   28656, 1978.4548,     1.20,     1.29,       1.07,     1.16,       1.20,     1.29
1978, 07,   28686, 1978.5370,     1.15,     1.25,       1.05,     1.16,       1.15,     1.25
1978, 08,   28717, 1978.6219,     1.08,     1.16,       1.08,     1.16,       1.08,     1.16
1978, 09,   28748, 1978.7068,     1.23,     1.26,       1.13,     1.15,       1.23,     1.26
1978, 10,   28778, 1978.7890,     1.19,     1.17,       1.17,     1.15,       1.19,     1.17
1978, 11,   28809, 1978.8740,     1.11,     1.06,       1.20,     1.14,       1.11,     1.06
1978, 12,   28839, 1978.9562,     1.11,     1.03,       1.22,     1.14,       1.11,     1.03
1979, 01,   28870, 1979.0411,     1.30,     1.21,       1.22,     1.13,       1.30,     1.21
1979, 02,   28901, 1979.1260,     1.23,     1.16,       1.19,     1.12,       1.23,     1.16
1979, 03,   28929, 1979.2027,     1.01,     0.97,       1.15,     1.11,       1.01,     0.97
1979, 04,   28960, 1979.2877,     1.08,     1.08,       1.10,     1.11,       1.08,     1.08
1979, 05,   28990, 1979.3699,     0.96,     1.01,       1.06,     1.10,       0.96,     1.01
1979, 06,   29021, 1979.4548,   -99.99,   -99.99,       1.01,     1.09,       1.01,     1.09
1979, 07,   29051, 1979.5370,     1.12,     1.23,       0.98,     1.09,       1.12,     1.23
1979, 08,   29082, 1979.6219,   -99.99,   -99.99,       1.00,     1.08,       1.00,     1.08
1979, 09,   29113, 1979.7068,     1.12,     1.15,       1.05,     1.08,       1.12,     1.15
1979, 10,   29143, 1979.7890,     0.94,     0.92,       1.09,     1.08,       0.94,     0.92
1979, 11,   29174, 1979.8740,     1.18,     1.13,       1.13,     1.07,       1.18,     1.13
1979, 12,   29204, 1979.9562,   -99.99,   -99.99,       1.16,     1.07,       1.16,     1.07
1980, 01,   29235, 1980.0410,     1.04,     0.95,       1.16,     1.07,       1.04,     0.95
1980, 02,   29266, 1980.1257,     0.97,     0.90,       1.15,     1.08,       0.97,     0.90
1980, 03,   29295, 1980.2049,   -99.99,   -99.99,       1.12,     1.08,       1.12,     1.08
1980, 04,   29326, 1980.2896,     0.99,     0.99,       1.08,     1.09,       0.99,     0.99
1980, 05,   29356, 1980.3716,     1.03,     1.07,       1.04,     1.09,       1.03,     1.07
1980, 06,   29387, 1980.4563,     1.20,     1.28,       1.01,     1.10,       1.20,     1.28
1980, 07,   29417, 1980.5383,     0.97,     1.07,       0.99,     1.10,       0.97,     1.07
1980, 08,   29448, 1980.6230,     1.09,     1.17,       1.03,     1.11,       1.09,     1.17
1980, 09,   29479, 1980.7077,     1.06,     1.09,       1.09,     1.12,       1.06,     1.09
1980, 10,   29509, 1980.7896,     0.92,     0.90,       1.14,     1.12,       0.92,     0.90
1980, 11,   29540, 1980.8743,   -99.99,   -99.99,       1.19,     1.13,       1.19,     1.13
1980, 12,   29570, 1980.9563,     1.34,     1.26,       1.22,     1.14,       1.34,     1.26
1981, 01,   29601, 1981.0411,     1.25,     1.16,       1.23,     1.14,       1.25,     1.16
1981, 02,   29632, 1981.1260,   -99.99,   -99.99,       1.22,     1.14,       1.22,     1.14
1981, 03,   29660, 1981.2027,     1.29,     1.25,       1.19,     1.15,       1.29,     1.25
1981, 04,   29691, 1981.2877,     1.14,     1.14,       1.14,     1.15,       1.14,     1.14
1981, 05,   29721, 1981.3699,     1.18,     1.22,       1.10,     1.15,       1.18,     1.22
1981, 06,   29752, 1981.4548,     1.16,     1.25,       1.06,     1.15,       1.16,     1.25
1981, 07,   29782, 1981.5370,     1.16,     1.27,       1.03,     1.14,       1.16,     1.27
1981, 08,   29813, 1981.6219,     1.11,     1.19,       1.06,     1.14,       1.11,     1.19
1981, 09,   29844, 1981.7068,     0.98,     1.01,       1.10,     1.13,       0.98,     1.01
1981, 10,   29874, 1981.7890,     1.27,     1.26,       1.14,     1.12,       1.27,     1.26
1981, 11,   29905, 1981.8740,     1.24,     1.18,       1.17,     1.12,       1.24,     1.18
1981, 12,   29935, 1981.9562,     1.18,     1.10,       1.19,     1.11,       1.18,     1.10
1982, 01,   29966, 1982.0411,   -99.99,   -99.99,       1.19,     1.10,       1.19,     1.10
1982, 02,   29997, 1982.1260,   -99.99,   -99.99,       1.17,     1.10,       1.17,     1.10
1982, 03,   30025, 1982.2027,     1.05,     1.01,       1.13,     1.09,       1.05,     1.01
1982, 04,   30056, 1982.2877,     1.20,     1.20,       1.08,     1.08,       1.20,     1.20
1982, 05,   30086, 1982.3699,     1.09,     1.14,       1.03,     1.08,       1.09,     1.14
1982, 06,   30117, 1982.4548,     0.89,     0.97,       0.99,     1.08,       0.89,     0.97
1982, 07,   30147, 1982.5370,     0.82,     0.93,       0.97,     1.08,       0.82,     0.93
1982, 08,   30178, 1982.6219,     0.96,     1.04,       1.00,     1.08,       0.96,     1.04
1982, 09,   30209, 1982.7068,     1.09,     1.11,       1.06,     1.08,       1.09,     1.11
1982, 10,   30239, 1982.7890,     0.96,     0.95,       1.11,     1.09,       0.96,     0.95
1982, 11,   30270, 1982.8740,     0.97,     0.92,       1.16,     1.10,       0.97,     0.92
1982, 12,   30300, 1982.9562,     1.09,     1.01,       1.19,     1.11,       1.09,     1.01
1983, 01,   30331, 1983.0411,     1.08,     0.99,       1.21,     1.12,       1.08,     0.99
1983, 02,   30362, 1983.1260,     1.12,     1.04,       1.21,     1.14,       1.12,     1.04
1983, 03,   30390, 1983.2027,     1.03,     0.98,       1.19,     1.15,       1.03,     0.98
1983, 04,   30421, 1983.2877,   -99.99,   -99.99,       1.17,     1.17,       1.17,     1.17
1983, 05,   30451, 1983.3699,     1.26,     1.30,       1.14,     1.19,       1.26,     1.30
1983, 06,   30482, 1983.4548,     1.09,     1.17,       1.12,     1.20,       1.09,     1.17
1983, 07,   30512, 1983.5370,     1.24,     1.35,       1.11,     1.22,       1.24,     1.35
1983, 08,   30543, 1983.6219,     1.28,     1.36,       1.15,     1.23,       1.28,     1.36
1983, 09,   30574, 1983.7068,     1.27,     1.30,       1.21,     1.24,       1.27,     1.30
1983, 10,   30604, 1983.7890,     1.41,     1.40,       1.27,     1.25,       1.41,     1.40
1983, 11,   30635, 1983.8740,     1.22,     1.17,       1.32,     1.26,       1.22,     1.17
